Mean	Stdev	CUI1	CUI2	Term1	Term2
1325.75	74.66536457	C0014038	C0025289	Encefalitis	Meningitis
354	199.7081203	C0152447	C0040822	Secreción uretral	Temblor
1011	358.6660471	C0001924	C0019134	Albúmina	Heparina
1085.5	466.7051175	C0032617	C0021641	Poliuria	Insulina
610	408.9678064	C0037384	C0038450	Ronquido	Estridor
282.25	135.1600903	C0019112	C0021359	Hemorroides	Esterilidad
1135.25	472.9329586	C0014544	C0031412	Epilepsia	Fenobarbital
856.75	456.3188761	C0014544	C0001975	Epilepsia	Alcohol
699.75	515.1338823	C0037384	C0023992	Ronquido	Loperamida
815.5	484.6679276	C0004093	C0006625	Astenia	Caquexia
1266.25	176.6340379	C0032285	C0036690	Neumonía	Septicemia
527.25	304.9725397	C0015300	C0019214	Exoftalmos	Hepatoesplenomegalia
570.25	540.5629011	C0019270	C0497327	Hernia	Demencia
1341.5	126.0330644	C0032285	C0013404	Neumonía	Disnea
528.5	340.4257139	C0017601	C0232197	Glaucoma	Fibrilación
1139	310.6412722	C0398623	C0040038	Trombofilia	Tromboembolismo
772.25	199.8972653	C0009262	C0032950	Colchicina	Prednisolona
488.5	288.9042517	C1257763	C0036572	Nutrición	Convulsiones
473.5	310.7630394	C0086543	C0030305	Cataratas	Pancreatitis
1514.5	111.1470497	C0001962	C0001975	Etanol	Alcohol
1121	366.173001	C0020550	C0036572	Hipertiroidismo	Convulsiones
695.75	529.3375577	C0116569	C0002598	Esmolol	Amiodarona
1134.75	238.2189119	C0021359	C0079083	Esterilidad	Carboplatino
615.75	547.0145489	C0011847	C0009214	Diabetes	Codeína
1054.75	448.2799535	C0030305	C0021641	Pancreatitis	Insulina
668.25	493.4216419	C0017160	C0021641	Gastroenteritis	Insulina
789.5	312.6238421	C0019655	C0032950	Histoplasmosis	Prednisolona
1070	516.0264851	C0149651	C0013404	Acropaquia	Disnea
825.5	406.5829149	C0035435	C0009262	Reumatismo	Colchicina
1040	532.6631206	C1623038	C0018926	Cirrosis	Hematemesis
1210.5	291.0171816	C0877781	C0018681	Cefalea	Dolor de cabeza
618.5	513.6850527	C0004153	C0018834	Aterosclerosis	Acidez
1389	37.85058344	C0920289	C0015672	Torpeza	Fatiga
794.75	660.7608619	C0878544	C0039070	Miocardiopatía	Síncope
1285	150.4415723	C0003129	C0036572	Anoxemia	Convulsiones
897	465.1200562	C0036494	C0001962	Cinetosis en un barco	Etanol
678.5	515.1604928	C0039730	C0040822	Talasemia	Temblor
1068.25	248.0542615	C0037763	C0036396	Espasmo	Ciática
1006	476.6529136	C0003128	C0152149	Anovulación	Dolor Intermenstrual
657.25	444.9407264	C0040485	C0014806	Tortícolis	Eritromicina
635.5	378.7967793	C0018995	C0032617	Hemocromatosis	Poliuria
1163.75	251.8748036	C0011175	C0038187	Deshidratación	Inanición
362.75	93.30728803	C0009319	C0014544	Colitis	Epilepsia
1459.5	74.95109517	C0011847	C0085602	Diabetes	Polidipsia
1363.25	43.39258769	C0162275	C0038187	Cetonuria	Inanición
1218	299.2579712	C0039730	C0019045	Talasemia	Hemoglobinopatía
812.25	322.6240072	C0026946	C0025289	Micosis	Meningitis
586.5	549.6262366	C0001047	C0001443	Acetilcisteína	Adenosina
1462.75	55.66192595	C0030193	C0026549	Dolor	Morfina
1230.25	305.3865037	C0001824	C0854467	Agranulocitosis	Mielosupresión
593.5	484.9058328	C0013428	C0019079	Disuria	Hemoptisis
475	287.2258113	C0917801	C0086140	Insomnio	Dextrano
1307.75	295.2697919	C0009262	C0033209	Colchicina	Probenecid
1187	185.9964157	C1623038	C0002871	Cirrosis	Anemia
439.5	250.4083332	C0038187	C0152149	Inanición	Dolor Intermenstrual
1387.25	99.68408432	C0004134	C0001962	Ataxia	Etanol
1270.25	244.596777	C0043528	C0004576	zoonosis	Babesiosis
827.75	573.0598427	C0043167	C0023343	Tos ferina	Lepra
1357.75	106.8998753	C0004153	C0002962	Aterosclerosis	Angina
1294.5	105.6046085	C0019158	C0018926	Hepatitis	Hematemesis
947.25	509.1675396	C0011991	C0009262	Diarrea	Colchicina
1049.75	427.9216244	C0027121	C0026848	Miositis	Miopatía
582	285.1748002	C0006277	C0023992	Bronquitis	Loperamida
1061	508.9289407	C0013428	C0008809	Disuria	Ciprofloxacina
1394.75	103.8408237	C0011847	C0162275	Diabetes	Cetonuria
1427.75	99.55693513	C0011175	C0017160	Deshidratación	Gastroenteritis
688	392.1844804	C0014806	C0023660	Eritromicina	Lidocaína
1107.75	113.9133443	C0007398	C0023380	Catatonía	Letargo
279.5	76.4613192	C1998461	C0018834	Alergia	Acidez
1399.75	28.30047114	C0085602	C0032617	Polidipsia	Poliuria
1299.25	179.1747285	C0011175	C0013369	Deshidratación	Disentería
1420.5	44.53088816	C0014025	C0065374	Enalapril	Lisinopril
756	465.6085623	C0026848	C0234369	Miopatía	Temblor
1243.5	200.0941445	C0162275	C0021641	Cetonuria	Insulina
932	440.4898788	C0005716	C0036572	Blastomicosis	Convulsiones
1048.25	251.1777259	C0878544	C0034642	Miocardiopatía	Rales
958.5	352.9348382	C0026946	C0030193	Micosis	Dolor
1364	86.97125962	C0002962	C0013404	Angina	Disnea
698.5	365.2437542	C0004610	C0376288	Bacteriemia	Amaurosis
326.25	108.2939672	C0029456	C0878544	Osteoporosis	Miocardiopatía
1126.75	564.5608175	C0442874	C0021641	Neuropatía	Insulina
345	273.3105682	C0008350	C0006277	Colelitiasis	Bronquitis
1214	314.8523463	C0006309	C0043528	Brucelosis	zoonosis
1427.75	93.75633312	C0038187	C0003123	Inanición	Anorexia
553.5	526.5361653	C0002962	C0011991	Angina	Diarrea
1380.25	177.1503599	C0040038	C0019134	Tromboembolismo	Heparina
300	126.6306966	C0041948	C0004057	Uremia	Aspirina
1028.75	296.3976777	C0011175	C0039070	Deshidratación	Síncope
527.25	584.4538048	C0231851	C0032617	Boca de pescado	Poliuria
1340	154.5423351	C0003864	C0035435	Artritis	Reumatismo
1072.5	466.0475655	C0011053	C0029877	Sordera	Otitis
1452	107.7187696	C0021359	C0003128	Esterilidad	Anovulación
1272.5	265.8828063	C0026946	C0019655	Micosis	Histoplasmosis
1070.25	541.4156598	C1257763	C0162429	Nutrición	Desnutrición
1386.75	31.6478014	C0009951	C0014544	Convulsiones	Epilepsia
420	268.9510488	C0010520	C0016410	Cianosis	Ácido fólico
666.75	542.1133799	C0014806	C0002144	Eritromicina	Alopurinol
597.5	391.4370958	C0086140	C0002658	Dextrano	anfetamina
1157	379.6533507	C0013369	C0012833	Disentería	Mareo
1399.5	169.8106789	C0021359	C0003128	Esterilidad	Anovulación
1398.25	123.0646849	C0012833	C0042571	Mareo	Vértigo
1301.25	91.33591845	C0242339	C0002962	Dislipidemia	Angina
718.25	356.5972284	C0017536	C0376286	Giardiasis	Avitaminosis
276.5	84.23182296	C0031154	C0004134	Peritonitis	Ataxia
511.5	477.5035776	C0149651	C0009806	Acropaquia	Estreñimiento
1023.5	530.5032202	C0009806	C0011991	Estreñimiento	Diarrea
722	244.0368825	C0023530	C0032285	Leucopenia	Neumonía
1115	176.3575913	C0085631	C0026549	Agitación	Morfina
1208.5	123.2734089	C0003126	C0003564	Anosmia	Afonía
1298.25	81.93239083	C2004489	C0018834	Regurgitación	Acidez
343.5	313.9729288	C0702166	C0004134	Acné	Ataxia
1483.25	121.4725621	C0025289	C0018681	Meningitis	Dolor de cabeza
717.75	450.8882899	C0398623	C0019079	Trombofilia	Hemoptisis
560	215.6463154	C0018834	C0014724	Acidez	Eructo
1370.5	144.981608	C0019209	C0019214	Hepatomegalia	Hepatoesplenomegalia
873	481.2449134	C0016204	C0018520	Flatulencia	Halitosis
448.5	239.1185201	C0152149	C0003564	Dolor Intermenstrual	Afonía
857.25	481.6252866	C0018995	C0003864	Hemocromatosis	Artritis
529.75	316.237648	C0149651	C0042878	Acropaquia	Vitamina K
1249	295.4600932	C0232471	C0020175	Sed	Hambre
1066.5	301.6714548	C0006277	C0032285	Bronquitis	Neumonía
1099.5	381.8258765	C0011847	C0032950	Diabetes	Prednisolona
519.25	433.9795502	C0040038	C0011603	Tromboembolismo	Dermatitis
333	200.6937966	C0030305	C0016204	Pancreatitis	Flatulencia
246.25	164.4959473	C0149651	C0885057	Acropaquia	Ajo
379	189.1084345	C0035435	C0917801	Reumatismo	Insomnio
720.5	342.1008623	C0035435	C0032950	Reumatismo	Prednisolona
1279.25	154.4870545	C0011847	C0020456	Diabetes	Hiperglucemia
664.5	139.9059208	C0877781	C0017887	Cefalea	Nitroglicerina
1148.5	194.5122104	C0040038	C0232197	Tromboembolismo	Fibrilación
1231.25	240.7410434	C0012833	C0015672	Mareo	Fatiga
543.25	463.6905398	C0004134	C0009806	Ataxia	Estreñimiento
1185.75	366.8627127	C0026946	C0009187	Micosis	Coccidiosis
879.75	359.602906	C0003615	C0007546	Apendicitis	Cefazolina
1409.75	88.19816703	C0017160	C0013369	Gastroenteritis	Disentería
747.75	470.5559655	C0014544	C0019209	Epilepsia	Hepatomegalia
957.25	538.9034391	C0020639	C0020175	Hipoproteinemia	Hambre
773	315.1052734	C0032285	C0025289	Neumonía	Meningitis
1302.75	193.3759292	C0026946	C0005716	Micosis	Blastomicosis
1303	231.4058484	C0079083	C0008838	Carboplatino	Cisplatino
1225.75	264.649926	C0442874	C0039128	Neuropatía	Sífilis
839	457.2577683	C0034642	C0010520	Rales	Cianosis
489.5	400.1670485	C0231451	C0020175	Hiperextensión	Hambre
345.5	129.3225941	C0030305	C0086543	Pancreatitis	Cataratas
360.25	112.1587417	C0043066	C0003129	Golpe de agua	Anoxemia
1325.5	119.9124681	C0040038	C0013404	Tromboembolismo	Disnea
1350	182.8715396	C0019158	C0019209	Hepatitis	Hepatomegalia
509.25	200.8056689	C0040034	C0018834	Trombocitopenia	Acidez
1263	184.2082155	C0003615	C0031154	Apendicitis	Peritonitis
1036.5	337.5406148	C0023530	C0005740	Leucopenia	Bleomicina
546.25	145.5183265	C0004153	C0152447	Aterosclerosis	Secreción uretral
917	482.1044147	C0009024	C0037763	Clonus	Espasmo
903.75	329.6294637	C0013428	C0152447	Disuria	Secreción uretral
869.5	596.6716015	C0041296	C0030232	Tuberculosis	Palidez
1161.25	269.3230712	C0006840	C0026946	Candidiasis	Micosis
1099.5	507.2944576	C0009421	C0003129	Comatoso	Anoxemia
444.75	279.2649578	C0003129	C0004134	Anoxemia	Ataxia
391	274.3027524	C0003126	C0009806	Anosmia	Estreñimiento
1002.25	440.4371881	C0018681	C0016382	Dolor de cabeza	Enrojecimiento
770.75	560.6760057	C0376286	C0038187	Avitaminosis	Inanición
1188.75	237.3905011	C0162323	C0003862	Poliartritis	Artralgia
1287.25	193.9800247	C0878544	C0002962	Miocardiopatía	Angina
1429.5	125.969573	C0020175	C0038187	Hambre	Inanición
1059	376.1976431	C0242706	C0003129	Hiperoxia	Anoxemia
1363	78.62569555	C0022116	C0022251	Isquemia	Isosorbida
460.75	401.9049432	C0003128	C0040485	Anovulación	Tortícolis
1338.5	160.2716444	C0041296	C0019079	Tuberculosis	Hemoptisis
1368.25	113.2029888	C0232197	C0002962	Fibrilación	Angina
1439.75	155.4828501	C0011847	C0032617	Diabetes	Poliuria
1269.75	256.6221282	C0019079	C0018926	Hemoptisis	Hematemesis
987.5	514.9048456	C0030232	C0001924	Palidez	Albúmina
1432.5	113.9663693	C0039128	C0018081	Sífilis	Gonorrea
680.5	457.3499754	C0001416	C0038450	Adenitis	Estridor
262.75	123.7857692	C0004096	C0451641	Asma	Urolitiasis
293	69.63715483	C0232197	C0018520	Fibrilación	Halitosis
1061	556.9117225	C0178664	C0033687	Glomeruloesclerosis	Proteinuria
658.5	227.1688065	C0036572	C0357929	Convulsiones	Calamina
1406.5	130.8166656	C0002144	C0009262	Alopurinol	Colchicina
899.25	492.8984852	C0018995	C0003862	Hemocromatosis	Artralgia
1078.75	435.4318737	C0032285	C0010520	Neumonía	Cianosis
1226.75	209.5190922	C0040038	C0039070	Tromboembolismo	Síncope
311	79.52777293	C0009090	C0017887	Desorden	Nitroglicerina
515.25	226.8352927	C0014544	C0003126	Epilepsia	Anosmia
570.25	459.700174	C0011175	C0006840	Deshidratación	Candidiasis
409.75	291.7480363	C0010137	C0001443	Cortisona	Adenosina
528	560.150575	C0041834	C0040822	Eritema	Temblor
1414.75	132.9620873	C0013404	C0010520	Disnea	Cianosis
252.25	121.1208075	C1998461	C0040485	Alergia	Tortícolis
974.5	388.7256959	C0041948	C0027497	Uremia	Náusea
525.75	187.9279561	C0344370	C2004489	Regurgitación	Regurgitación
785	470.0049645	C0017160	C0036572	Gastroenteritis	Convulsiones
1313.5	169.1104176	C0009421	C0020456	Comatoso	Hiperglucemia
1315.75	184.4801254	C0232471	C0020175	Sed	Hambre
1139	485.0972411	C0002962	C0018834	Angina	Acidez
1191.5	204.033494	C0232197	C0004147	Fibrilación	Atenolol
1354.25	112.411076	C0242339	C0020473	Dislipidemia	Hiperlipidemia
1309	127.7810628	C0043144	C0038450	Sibilancias	Estridor
1179	349.1370314	C0043066	C2004489	Golpe de agua	Regurgitación
1433.25	202.0006188	C0032617	C0162275	Poliuria	Cetonuria
488.5	255.6905682	C0004134	C0022614	Ataxia	Ketamina
257	65.26867549	C0013369	C0116569	Disentería	Esmolol
1315.5	319.7556359	C0301532	C0001975	Suplementos multivitamínicos y oligoelementos	Alcohol
226.75	72.03413543	C0017536	C0233576	Giardiasis	Manierismo
321.75	125.1755434	C0033860	C0004153	Psoriasis	Aterosclerosis
1255.25	94.4117754	C0011633	C0026848	Dermatomiositis	Miopatía
788.25	323.3206613	C0038187	C0008838	Inanición	Cisplatino
1332	220.6399782	C0003128	C0002453	Anovulación	Amenorrea
1359.5	123.7807201	C0001824	C0002871	Agranulocitosis	Anemia
1377.5	133.9788541	C0040485	C0037763	Tortícolis	Espasmo
593.25	276.1175776	C0357929	C0005740	Calamina	Bleomicina
1127.25	157.01035	C0003864	C0002726	Artritis	Amiloidosis
477.5	360.9445941	C0014544	C0022116	Epilepsia	Isquemia
1463	157.3975858	C0007297	C0027497	cinetosis en un viaje en automóvil	Náusea
1005.25	525.2151147	C0000786	C0023860	Aborto espontáneo	Listeriosis
